timestamp,object_id,comment,plain,mystyle
1372881039146.0,120025572,"",false,
1363292103862.0,120024343,"The words around the plate is an insight quotes the everyone should be reminded of.",false,true
1365268093722.0,120025572,"heavy material. overly fussy design to compensate (but not compliment) for the simle material",true,
1372703675161.0,120025572,"",false,
1372707692903.0,120020328,"",false,
1372529403801.0,120020328,"",true,
1372874478281.0,120023673,"",true,
1365894270975.0,120003333,"hess
,
cvfdfs","",
1372691502536.0,120020328,"",false,
1369584733339.0,120024343,"boring",true,
1372540922411.0,120023673,"",true,
1375904518551.0,120024343,"",true,
1376419384612.0,120023673,"",true,
1375815559936.0,120059379,"",true,
1376415738090.0,120003333,"",true,
1372278273142.0,120025572,"",true,
1372951501946.0,120003333,"",true,
1363709628593.0,120024343,"the color",false,true
1372799044264.0,120020328,"simplistic, no rnate detail",true,
1372550544646.0,120023673,"","",
1372355600775.0,120059379,"",true,
1363981845287.0,120059379,"its very plain in color detail and design",true,
1364839222617.0,120025572,"it is too white",false,
1373134656739.0,120024343,"",false,
1374784148110.0,120003333,"",false,
1374954110794.0,120025572,"pretty",false,
1372270851545.0,120023673,"looks really boring",true,
1364664977938.0,120023673,".",false,
1372279484329.0,120003333,"",false,
1375119160853.0,120024343,"","",
1376679636174.0,120003333,"",false,
1373144207607.0,120023673,"",false,
1369682543722.0,120059379,"it has gold on it",false,
1368030302515.0,120003333,"er",true,
1372541885863.0,120025572,"",false,
1375725881797.0,120024343,"",false,
1372439436026.0,120024343,"",true,
1372448781916.0,120059379,"","",
1374776781009.0,120023673,"",false,
1372364483156.0,120024343,"",true,
1376169681609.0,120020328,"",false,
1374002347414.0,120020328,"",true,
1372543516446.0,120020328,"",true,
1372274973040.0,120025572,"",false,
1372871413218.0,120024343,"","",
1374366770219.0,120003333,"",false,
1372696618029.0,120025572,"",false,
1364596358236.0,120024343,"interesting design",true,
1373066004731.0,120003333,"dont care for to plain",true,
1376169332286.0,120025572,"","",
1376074672734.0,120023673,"",true,
1372357321696.0,120023673,"simple but stylistic",true,
1375724315887.0,120023673,"",false,
1373141234117.0,120025572,"",false,
1372257496624.0,120024343,"its pretty",false,
1373050619623.0,120025572,"because it is pretty","",
1373144810666.0,120003333,"",true,
1372621376542.0,120024343,"",false,
1375045443451.0,120025572,"ghg.judgjjgyncgdzghnfgchfysHhhxfdjhugjnghfhyfhYfhFYhFYhGhhJhGfYhHcjYhrtYUttutjUuYgJYTjFUukyJUTJgiTmYUuYjuJUJudfyYTyHnGyh",false,
1374957546829.0,120003333,"","",
1375987194566.0,120025572,"","",
1374345223774.0,120003333,"pee",false,
1369681805171.0,120003333,"It's blue.",false,
1364842444098.0,120024343,"too old",false,
1364070311763.0,120020328,"no",true,
